Time,TEMP,HUM,LIGHT,SOIL,SOIL_STATUS,RAIN_STATUS,RAIN_VALUE,Crop_Height_ft,Crop_to_Crop_Distance_ft,pH,pH_Type,longitude,latitude
2026-03-26 14:36:06.058196,35.5,16.0,81,672,MOIST,NO_RAIN,64,1.22,0.97,5.0,Acidic,87.8920749,23.2276734
2026-03-26 15:02:28.732786,34.5,21.2,86,689,MOIST,NO_RAIN,63,1.32,0.95,5.54,Acidic,87.8917855,23.2278905
2026-03-26 14:33:36.906243,35.5,22.0,79,656,MOIST,NO_RAIN,63,1.4,0.96,5.48,Acidic,87.891958,23.227628
2026-03-26 14:36:35.988577,36.1,14.0,79,661,MOIST,NO_RAIN,68,1.25,0.82,5.38,Acidic,87.8920733,23.2277047
2026-03-26 15:02:49.941978,35.0,19.5,79,657,MOIST,NO_RAIN,64,1.48,0.97,5.8,Acidic,87.8917785,23.2278668
2026-03-26 14:41:05.950002,35.5,14.0,84,664,MOIST,NO_RAIN,71,1.28,0.91,5.36,Acidic,87.8920811,23.2278106
2026-03-26 15:00:18.773983,34.6,17.0,87,687,MOIST,NO_RAIN,74,1.38,0.93,5.3,Acidic,87.8918295,23.228051
2026-03-26 15:02:25.614887,34.7,21.4,85,666,MOIST,NO_RAIN,57,1.37,0.94,5.4,Acidic,87.8917866,23.2278932
2026-03-26 14:42:32.040209,35.6,15.0,82,654,MOIST,NO_RAIN,71,1.3,0.89,5.29,Acidic,87.8920936,23.227919
2026-03-26 14:45:21.143945,34.5,17.0,75,587,MOIST,NO_RAIN,69,1.43,0.83,5.1,Acidic,87.8920783,23.2280886
2026-03-26 15:04:55.130105,35.4,16.4,74,632,MOIST,NO_RAIN,65,1.24,0.99,4.83,Acidic,87.8917451,23.2276961
2026-03-26 14:34:26.731055,35.0,17.0,78,669,MOIST,NO_RAIN,68,1.45,0.86,5.01,Acidic,87.8920224,23.2276233
2026-03-26 15:04:22.360009,35.9,20.5,75,644,MOIST,NO_RAIN,65,1.36,0.98,5.17,Acidic,87.891749,23.2277426
2026-03-26 14:35:36.268179,35.4,17.0,78,677,MOIST,NO_RAIN,77,1.37,0.84,5.34,Acidic,87.8920812,23.2276503
2026-03-26 15:01:18.367055,35.0,15.0,88,686,MOIST,NO_RAIN,79,1.29,0.95,5.33,Acidic,87.891808,23.2279781
2026-03-26 14:36:42.623866,36.0,14.0,81,675,MOIST,NO_RAIN,63,1.23,0.95,5.18,Acidic,87.8920735,23.2277139
2026-03-26 14:45:27.771926,34.7,17.0,77,617,MOIST,NO_RAIN,65,1.31,0.97,4.99,Acidic,87.892067,23.2280884
2026-03-26 14:35:52.831045,35.6,17.0,81,665,MOIST,NO_RAIN,61,1.26,0.81,5.4,Acidic,87.8920764,23.2276696
2026-03-26 14:43:58.162899,35.1,16.0,83,650,MOIST,NO_RAIN,71,1.43,0.81,5.71,Acidic,87.8921159,23.2280189
2026-03-26 14:32:40.600369,33.9,21.0,78,616,MOIST,NO_RAIN,66,1.39,0.88,5.44,Acidic,87.8918625,23.227634
2026-03-26 14:33:56.781770,35.2,20.0,78,655,MOIST,NO_RAIN,62,1.26,0.82,4.85,Acidic,87.8919824,23.2276267
2026-03-26 14:33:33.591834,35.2,22.0,83,694,MOIST,NO_RAIN,61,1.25,0.99,4.8,Acidic,87.8919497,23.2276283
2026-03-26 14:44:34.592116,34.6,17.0,85,636,MOIST,NO_RAIN,67,1.29,0.92,5.16,Acidic,87.8921213,23.228066
2026-03-26 14:43:01.860501,35.4,17.0,82,653,MOIST,NO_RAIN,65,1.48,0.91,4.89,Acidic,87.8921003,23.2279535
2026-03-26 14:43:28.336496,35.3,16.0,84,632,MOIST,NO_RAIN,63,1.45,0.9,5.52,Acidic,87.8921066,23.2279858
2026-03-26 14:59:02.596895,33.5,11.0,86,690,MOIST,NO_RAIN,75,1.35,0.97,5.65,Acidic,87.8919107,23.2280727
2026-03-26 14:42:25.429393,35.8,16.0,81,652,MOIST,NO_RAIN,70,1.48,0.81,5.79,Acidic,87.8920927,23.2279103
2026-03-26 14:59:22.459062,33.2,17.0,85,688,MOIST,NO_RAIN,83,1.37,0.9,5.55,Acidic,87.8918858,23.2280732
2026-03-26 14:34:49.919530,35.3,19.0,79,650,MOIST,NO_RAIN,61,1.2,1.0,5.73,Acidic,87.8920521,23.2276203
2026-03-26 14:37:15.758479,36.3,15.0,78,636,MOIST,NO_RAIN,60,1.39,0.81,5.07,Acidic,87.8920774,23.2277572
2026-03-26 15:02:40.070993,35.1,19.8,79,693,MOIST,NO_RAIN,66,1.23,0.81,5.2,Acidic,87.8917813,23.2278779
2026-03-26 14:45:01.082238,34.5,18.0,77,598,MOIST,NO_RAIN,67,1.47,0.94,4.94,Acidic,87.892104,23.2280899
2026-03-26 14:46:27.361703,34.5,18.0,86,159,DRY,NO_RAIN,64,1.2,0.9,5.56,Acidic,87.8919901,23.2280753
2026-03-26 14:41:58.926300,35.5,17.0,77,625,MOIST,NO_RAIN,73,1.32,0.89,5.0,Acidic,87.8920868,23.2278766
2026-03-26 14:34:16.807160,35.4,18.0,77,686,MOIST,NO_RAIN,72,1.45,0.8,5.2,Acidic,87.8920102,23.2276241
2026-03-26 14:36:55.886700,36.2,14.0,78,673,MOIST,NO_RAIN,61,1.35,0.95,5.1,Acidic,87.8920747,23.2277314
