Time,TEMP,HUM,LIGHT,SOIL,SOIL_STATUS,RAIN_STATUS,RAIN_VALUE,Crop_Height_ft,Crop_to_Crop_Distance_ft,pH,pH_Type,longitude,latitude
2026-03-26 14:35:26.330988,35.4,20,81,665,MOIST,NO_RAIN,62,1.37,0.85,4.85,Acidic,87.892081,23.2276375
2026-03-26 14:35:29.643959,35.5,18,80,645,MOIST,NO_RAIN,67,1.43,0.83,5.4,Acidic,87.8920815,23.2276447
2026-03-26 14:35:32.952524,35.3,17,81,689,MOIST,NO_RAIN,67,1.39,0.96,4.99,Acidic,87.8920814,23.2276483
2026-03-26 14:35:36.268179,35.4,17,78,677,MOIST,NO_RAIN,77,1.37,0.84,5.34,Acidic,87.8920812,23.2276503
2026-03-26 14:35:39.583181,35.6,17,81,685,MOIST,NO_RAIN,61,1.37,0.98,5.37,Acidic,87.8920807,23.227658
2026-03-26 14:35:42.898519,35.7,17,81,682,MOIST,NO_RAIN,62,1.29,0.93,5.65,Acidic,87.8920803,23.2276597
2026-03-26 14:35:46.205679,35.5,16,77,640,MOIST,NO_RAIN,64,1.21,0.81,4.74,Acidic,87.8920798,23.2276635
2026-03-26 14:35:49.518194,35.4,16,80,678,MOIST,NO_RAIN,61,1.33,0.8,5.65,Acidic,87.8920777,23.2276677
2026-03-26 14:35:52.831045,35.6,17,81,665,MOIST,NO_RAIN,61,1.26,0.81,5.4,Acidic,87.8920764,23.2276696
2026-03-26 14:35:56.133449,35.5,17,80,671,MOIST,NO_RAIN,76,1.32,0.92,4.91,Acidic,87.8920751,23.2276719
2026-03-26 14:35:59.444887,35.7,17,78,638,MOIST,NO_RAIN,69,1.46,0.96,5.56,Acidic,87.8920749,23.227672
2026-03-26 14:36:02.751588,35.5,17,80,663,MOIST,NO_RAIN,73,1.27,0.85,5.65,Acidic,87.8920746,23.2276739
2026-03-26 14:36:06.058196,35.5,16,81,672,MOIST,NO_RAIN,64,1.22,0.97,5,Acidic,87.8920749,23.2276734
2026-03-26 14:36:09.370551,35.7,16,81,669,MOIST,NO_RAIN,62,1.28,0.81,5.72,Acidic,87.8920744,23.2276785
2026-03-26 14:36:12.690367,35.8,16,77,628,MOIST,NO_RAIN,63,1.29,0.96,5.22,Acidic,87.8920744,23.2276778
2026-03-26 14:36:15.991967,35.8,16,81,667,MOIST,NO_RAIN,65,1.4,0.99,5.38,Acidic,87.8920742,23.2276821
